	TF	Target	Sources	PMIDs	N	Factor / Gene Name
78	SMAD1	GADD45B	TFacTs	|16144844	2	SMAD1 / GADD45B
79	SLC2A4RG	HTT	Fastforward	14625278	1	SLC2A4RG / HTT
80	RELA	CCL13	TRRUST	10049733	1	RELA / CCL13
81	ETS1	TP53	TRRUST	10510472	1	ETS1 / TP53
82	LMO4	DLG4	TRRUST	18424056	1	LMO4 / DLG4
83	MYCN	RARA	Fastforward	9334253	1	MYCN / RARA
84	JUN	LBP	TRRUST	15114678	1	JUN / LBP
85	SREBF1	CETP	HTRI|TFacTs|TRRUST	10393213||10393213|10393213	2	SREBF1 / CETP
86	XBP1	PRNP	TRRUST	23737521	1	XBP1 / PRNP
87	MYCN	XRCC2	HTRI	16093321	1	MYCN / XRCC2
88	TP53	FLT1	TRRUST	16432214|1724219e	2	TP53 / FLT1
89	HDAC11	TNFSF4	TRRUST	21239696	1	HDAC11 / TNFSF4
90	NFKB1	CD69	TRRUST	10480634	1	NFKB1 / CD69
91	EAPP	ABCB1	TRRUST	23542036	1	EAPP / ABCB1
92	ELK1	DAP3	TRRUST	19536094	1	ELK1 / DAP3
93	E2F4	BIRC5	HTRI|TRRUST	17671431|18504435	2	E2F4 / BIRC5
94	IRF7	CXCL10	TRRUST	24701034	1	IRF7 / CXCL10
95	KLF6	PMAIP1	TRRUST	22718761	1	KLF6 / PMAIP1
96	CNOT7	PMP22	TRRUST	15937477	1	CNOT7 / PMP22
97	SP1	RASSF1	TRRUST	19450668	1	SP1 / RASSF1
98	SP1	DPYSL2	TRRUST	15207709	1	SP1 / DPYSL2
99	ESR2	NOTCH2	HTRI	19376833	1	ESR2 / NOTCH2
100	NFKB1	NOX4	TRRUST	20622120	1	NFKB1 / NOX4
101	SREBF1	FABP6	TRRUST	11684682	1	SREBF1 / FABP6
102	SP1	MIF	HTRI|TRRUST	21087445|18034423	2	SP1 / MIF
103	IRF1	CDK1	TRRUST	22200613	1	IRF1 / CDK1
104	SP1	PTK6	HTRI|TRRUST	11997104|11997104	1	SP1 / PTK6
105	MYC	HERPUD1	HTRI	12695333	1	MYC / HERPUD1
106	ERG	TDRD1	TRRUST	23319146|23555854	2	ERG / TDRD1
107	SP1	ATF2	Fastforward|TRRUST	2145272|2145272	1	SP1 / ATF2
108	TP53	DCC	ORegAnno|PAZAR	15843459|15843459	1	TP53 / DCC
109	E2F4	MFAP1	HTRI	11799066	1	E2F4 / MFAP1
110	GATA3	TEK	HTRI|TRRUST	19674970|19674970	1	GATA3 / TEK
111	E2F2	CUX1	TRRUST	18347061	1	E2F2 / CUX1
112	CTCF	MMP10	ORegAnno	22951020	1	CTCF / MMP10
113	RUNX1	PRKCQ	TRRUST	21252065	1	RUNX1 / PRKCQ
114	RUNX1	CSF1	TRRUST	9632776	1	RUNX1 / CSF1
115	IRF1	SOCS2	TRRUST	22291912	1	IRF1 / SOCS2
116	SP1	ST6GAL1	TRRUST	10814704	1	SP1 / ST6GAL1
117	ATF4	FGF19	TRRUST	23205607	1	ATF4 / FGF19
118	NR1I2	BCL2	TRRUST	16085054	1	NR1I2 / BCL2
119	WT1	CKM	TRRUST	8389468	1	WT1 / CKM
120	ZEB2	POU5F1	TRRUST	23049906	1	ZEB2 / POU5F1
121	ATM	TERF1	TRRUST	17694070	1	ATM / TERF1
122	MYB	NMU	TRRUST	15187020	1	MYB / NMU
123	MYC	PRDM8	HTRI	12747840	1	MYC / PRDM8
124	WT1	VDR	Fastforward|TRRUST	11050081|23362234|11050081|11773605	3	WT1 / VDR
125	ESR1	NRF1	HTRI|TRRUST	18048642|21486948	2	ESR1 / NRF1
126	ESR1	PLAC1	TRRUST	19652226|24304549	2	ESR1 / PLAC1
127	ERG	ENG	TRRUST	22235125|19359602	2	ERG / ENG
128	NFYA	CDKN2A	HTRI	19340300	1	NFYA / CDKN2A
129	CEBPZ	MLH1	HTRI|TRRUST	11704838|11704838	1	CEBPZ / MLH1
130	NFIC	ITGA5	TRRUST	18775869	1	NFIC / ITGA5
131	HIF3A	EPAS1	TRRUST	19755485	1	HIF3A / EPAS1
132	FOXO4	SOD2	TRRUST	21536589	1	FOXO4 / SOD2
133	GFI1	CYP27B1	TRRUST	15947108|17207994	2	GFI1 / CYP27B1
134	HDAC1	POU5F1	TRRUST	22867868	1	HDAC1 / POU5F1
135	MYB	MYB	HTRI|Fastforward|TRRUST	7655015|10567569|1944282|7655015	3	MYB / MYB
136	TP53	BDKRB2	TRRUST	15632413	1	TP53 / BDKRB2
137	CTNNB1	APCDD1	TFacTs	pmid: 12384519	1	CTNNB1 / APCDD1
138	SP1	ELF4	TRRUST	15907486	1	SP1 / ELF4
139	E2F4	POLE3	TFacTs	|16403426	2	E2F4 / POLE3
140	NR2F2	HEY2	TRRUST	23345397	1	NR2F2 / HEY2
141	GATA3	FUT7	TRRUST	17075044	1	GATA3 / FUT7
142	SF1	MC2R	TRRUST	12530626	1	SF1 / MC2R
143	POU2F1	TXNRD1	TRRUST	11375392	1	POU2F1 / TXNRD1
144	KLF2	WEE1	TRRUST	15735666	1	KLF2 / WEE1
145	USF2	DCK	HTRI	14514691	1	USF2 / DCK
146	YY1	THBS1	TFacTs	|15365249	2	YY1 / THBS1
147	NFKB1	BCL3	TRRUST	11387332	1	NFKB1 / BCL3
148	VHL	SPARC	TRRUST	15824735	1	VHL / SPARC
149	HDAC9	MMP13	TRRUST	18054336	1	HDAC9 / MMP13
150	GATA1	CTSE	TFacTs	|11322887	2	GATA1 / CTSE
151	SP1	UGT1A4	HTRI|TRRUST	19546240|19546240	1	SP1 / UGT1A4
152	RELA	NOLC1	TRRUST	21266110	1	RELA / NOLC1
153	IFI16	BRCA1	TRRUST	22618232	1	IFI16 / BRCA1
154	NFYA	CDK1	Fastforward	10438472|10514438|7760824	3	NFYA / CDK1
155	STAT1	AGFG2	ORegAnno	22951020	1	STAT1 / AGFG2
156	NFKB1	TIMP1	TRRUST	14600595|11426939	2	NFKB1 / TIMP1
157	TCF7L2	CXCL8	TFacTs	pmid: 16132617|pmid: 12200448	2	TCF7L2 / CXCL8
158	MYC	UCP3	HTRI	12695333	1	MYC / UCP3
159	CIITA	SIRT1	TRRUST	22064865	1	CIITA / SIRT1
160	EAPP	MAOB	TRRUST	20980443	1	EAPP / MAOB
161	STAT1	IGFLR1	ORegAnno	22951020	1	STAT1 / IGFLR1
162	E2F6	UXT	TFacTs	|12909625	2	E2F6 / UXT
163	STAT1	ZNF655	ORegAnno	22951020	1	STAT1 / ZNF655
164	MYC	MSN	HTRI	12695333	1	MYC / MSN
165	RB1	CDKN1A	TRRUST	14527674|9671466	2	RB1 / CDKN1A
166	NFKB1	BTG2	TRRUST	17363596	1	NFKB1 / BTG2
167	TP53	CASP10	HTRI	14688482	1	TP53 / CASP10
168	PAX4	GCG	TRRUST	17426099	1	PAX4 / GCG
169	NR2F1	PAX6	Fastforward	20147377	1	NR2F1 / PAX6
170	SIRT1	TP73	TRRUST	19188449	1	SIRT1 / TP73
171	NR5A1	INSL3	TRRUST	23530236	1	NR5A1 / INSL3
172	ESR1	CCL11	HTRI	20034404	1	ESR1 / CCL11
173	PPARA	CYP1A1	HTRI|TRRUST	15521013|15521013	1	PPARA / CYP1A1
174	LEF1	BIRC5	TRRUST	19620402	1	LEF1 / BIRC5
175	HOXA5	ARHGEF1	TRRUST	17379095	1	HOXA5 / ARHGEF1
176	MAZ	HTR1A	PAZAR|TRRUST	8626793|8626793	1	MAZ / HTR1A
177	CEBPB	CYP3A4	HTRI|ORTI	15778453|	2	CEBPB / CYP3A4
178	PITX1	TBX4	TRRUST	20598276	1	PITX1 / TBX4
179	NFYB	GFI1B	TRRUST	19965638	1	NFYB / GFI1B
180	E2F1	HIC1	TFacTs|TRRUST	|19491197|19015639|19491197	3	E2F1 / HIC1
181	POU4F2	HSP90AA1	TRRUST	15818685	1	POU4F2 / HSP90AA1
182	MYC	FN1	TFacTs	|14519204	2	MYC / FN1
183	SP3	ERBB2	TRRUST	22553354	1	SP3 / ERBB2
184	NFKB1	CARM1	TRRUST	20462455	1	NFKB1 / CARM1
185	TFAP2A	CSH1	HTRI|TRRUST	10715552|10715552	1	TFAP2A / CSH1
186	CEBPA	IL3	TRRUST	10453008	1	CEBPA / IL3
187	NANOG	SEMA6A	TRRUST	17671748	1	NANOG / SEMA6A
188	YY1	FMO3	TRRUST	17786630	1	YY1 / FMO3
189	MYC	HIST2H4A	HTRI	12747840	1	MYC / HIST2H4A
190	PCGF2	HOXA7	TRRUST	22085718	1	PCGF2 / HOXA7
191	CTCF	PBXIP1	TRRUST	22187427	1	CTCF / PBXIP1
192	HDAC4	RUNX2	TRRUST	19509297	1	HDAC4 / RUNX2
193	WT1	KLK3	TRRUST	18631392	1	WT1 / KLK3
194	PBX2	EMX2	TRRUST	15494461	1	PBX2 / EMX2
195	TCF7L2	EPCAM	TFacTs	18006828	1	TCF7L2 / EPCAM
196	GATA3	FOXC2	TRRUST	22120723	1	GATA3 / FOXC2
197	STAT6	IL1R1	TRRUST	8757327	1	STAT6 / IL1R1
198	NFKB1	F3	TFacTs|TRRUST	12746898|11057875|11057875|11157486|19167713|9867853	5	NFKB1 / F3
199	PPARD	SOD1	TRRUST	18048767	1	PPARD / SOD1
200	NR1I2	HIVEP3	HTRI	19129222	1	NR1I2 / HIVEP3
201	ESR1	SPATA2	HTRI	20034404	1	ESR1 / SPATA2
202	REL	JAG1	TFacTs	10329626	1	REL / JAG1
203	E2F1	SERPINB5	TRRUST	20197383	1	E2F1 / SERPINB5
204	NFE2L2	CXCL8	TRRUST	21925595	1	NFE2L2 / CXCL8
205	HSF1	ATG7	TRRUST	23386620	1	HSF1 / ATG7
206	JUN	EGFR	TRRUST	10803405	1	JUN / EGFR
207	CREBBP	PTGS2	TRRUST	11278336	1	CREBBP / PTGS2
208	E2F1	RRM2	TRRUST	19416980	1	E2F1 / RRM2
209	BCL6	CCND2	TRRUST	15509806|22723377	2	BCL6 / CCND2
210	SP1	ITGA11	TFacTs	|19913614	2	SP1 / ITGA11
211	IRF1	CEACAM1	HTRI|TRRUST	21050451|21050451	1	IRF1 / CEACAM1
212	MLLT3	CDKN1A	TRRUST	15851483	1	MLLT3 / CDKN1A
213	ZNF148	MMP3	HTRI|TRRUST	19275880|15003528	2	ZNF148 / MMP3
214	UBP1	CYP11A1	TRRUST	18004979	1	UBP1 / CYP11A1
215	ZBTB33	CDKN2A	HTRI	19340300	1	ZBTB33 / CDKN2A
216	NFKB1	IFNB1	TRRUST	10074115|12077266|17496231|15955070|16125763|17079305	6	NFKB1 / IFNB1
217	ESR2	TGFA	TRRUST	11517191	1	ESR2 / TGFA
218	JUND	NQO2	HTRI|TRRUST	16545679|16545679	1	JUND / NQO2
219	RB1	FGFR1	TRRUST	19303924	1	RB1 / FGFR1
220	FOXO4	CREB1	TRRUST	20136501	1	FOXO4 / CREB1
221	VDR	PHB	TRRUST	16849588|17207617	2	VDR / PHB
222	DEAF1	HTR1A	PAZAR|TRRUST	14507979|14507979	1	DEAF1 / HTR1A
223	ATF2	PLAU	TRRUST	10454570	1	ATF2 / PLAU
224	MYC	ST3GAL4	TRRUST	22547830	1	MYC / ST3GAL4
225	GLI1	S100A9	TRRUST	16880536	1	GLI1 / S100A9
226	REST	CD59	TRRUST	20421646	1	REST / CD59
227	HIF1A	ALAS2	HTRI|TRRUST	21207956|21207956	1	HIF1A / ALAS2
228	GATA2	HHEX	Fastforward	19620289	1	GATA2 / HHEX
229	ESR2	NINJ1	HTRI	20034404	1	ESR2 / NINJ1
230	FEV	TPH1	PAZAR	10575032	1	FEV / TPH1
231	NANOG	GATA6	TRRUST	15983365	1	NANOG / GATA6
232	ERCC2	CDKN1A	TRRUST	22387547	1	ERCC2 / CDKN1A
233	NFKB1	CXCL12	TRRUST	17530707	1	NFKB1 / CXCL12
234	NR1I2	GATAD2A	HTRI	19129222	1	NR1I2 / GATAD2A
235	GATA3	IGKV1ORY-1	HTRI	19559773	1	GATA3 / IGKV1ORY-1
236	ILF3	HLA-DRB1	TRRUST	7651394	1	ILF3 / HLA-DRB1
237	GATA3	HAT1	HTRI	19559773	1	GATA3 / HAT1
238	TCF7L2	UBE2B	TFacTs	pmid: 17050667	1	TCF7L2 / UBE2B
239	NFKB1	CXCR2	TRRUST	19156404|18555777	2	NFKB1 / CXCR2
240	SP1	CDK2	Fastforward	12732645|8647814	2	SP1 / CDK2
241	MYC	SEC23B	HTRI	12747840	1	MYC / SEC23B
242	STAT2	SCARB1	TRRUST	17998316	1	STAT2 / SCARB1
243	NOTCH1	HES1	Fastforward	18490439	1	NOTCH1 / HES1
244	TBP	MEOX2	Fastforward	7623821	1	TBP / MEOX2
245	AR	UGT1A3	TFacTs	18677463	1	AR / UGT1A3
246	SP1	CETP	TRRUST	10669650|12730302	2	SP1 / CETP
247	MYC	AQR	HTRI	12747840	1	MYC / AQR
248	PML	CDKN1A	TRRUST	10356361|16007146	2	PML / CDKN1A
249	SREBF1	AR	TRRUST	20071336	1	SREBF1 / AR
250	CDX1	PCNA	TRRUST	11743638	1	CDX1 / PCNA
251	MYC	SLBP	HTRI	12695333	1	MYC / SLBP
252	HOXB7	CDKN1B	TRRUST	21474578	1	HOXB7 / CDKN1B
253	STAT1	ZC3HAV1	ORegAnno	22951020	1	STAT1 / ZC3HAV1
254	RUNX1	FOXP3	Fastforward	19800266	1	RUNX1 / FOXP3
255	SP3	ITGAV	TRRUST	12136940	1	SP3 / ITGAV
256	TP53	GPX1	HTRI	16980608	1	TP53 / GPX1
257	RUNX3	TCF4	TRRUST	24447505	1	RUNX3 / TCF4
258	MYC	YBX3	HTRI	12747840	1	MYC / YBX3
259	USF2	PDX1	TRRUST	10393088	1	USF2 / PDX1
260	SF1	TCERG1	TRRUST	11604498	1	SF1 / TCERG1
261	JUN	CCL2	TRRUST	18443042	1	JUN / CCL2
262	NFKB1	OLFM4	TRRUST	18764868	1	NFKB1 / OLFM4
263	FOXA3	CEBPA	HTRI	19074951	1	FOXA3 / CEBPA
264	SP1	PADI4	HTRI	17456793	1	SP1 / PADI4
265	MYC	SLC28A2	HTRI	12747840	1	MYC / SLC28A2
266	WT1	ADGRE5	TRRUST	22313360	1	WT1 / ADGRE5
267	NFKB2	CXCL8	TFacTs	pazar_pleiades_20100814|15079071	2	NFKB2 / CXCL8
268	EGR1	STIM1	TRRUST	20123987	1	EGR1 / STIM1
269	HDAC3	TNF	TRRUST	15356147	1	HDAC3 / TNF
270	TP53	TNFRSF10B	ORegAnno|PAZAR|TRRUST	15964798|15964798|10101800|11313989|11756185|10810622|19351839	6	TP53 / TNFRSF10B
271	ESR2	EIF2D	HTRI	20034404	1	ESR2 / EIF2D
272	SP1	STAR	TRRUST	11111087|15129808	2	SP1 / STAR
273	MYC	TYMS	HTRI|TFacTs	12747840||12747840	2	MYC / TYMS
274	FOXL2	STAR	PAZAR|TRRUST	15059956|21862621	2	FOXL2 / STAR
275	FOXF2	PDGFA	TRRUST	19562724	1	FOXF2 / PDGFA
276	MYC	SURF2	TRRUST	10858544	1	MYC / SURF2
277	ELF3	PTGS2	TRRUST	15794755	1	ELF3 / PTGS2
278	ESR2	TNFRSF10C	HTRI	20034404	1	ESR2 / TNFRSF10C
279	DNMT1	ESR1	TRRUST	21655924|23242655	2	DNMT1 / ESR1
280	RORA	PPARG	Fastforward	11554739	1	RORA / PPARG
281	E2F2	RBL1	Fastforward	7791762	1	E2F2 / RBL1
282	MYC	ACO2	HTRI	12695333	1	MYC / ACO2
283	CDX2	HEPH	TRRUST	15825077	1	CDX2 / HEPH
284	CRX	RHO	TRRUST	15277472	1	CRX / RHO
285	SOX9	CEACAM1	TRRUST	22209504	1	SOX9 / CEACAM1
286	E2F6	MCM3	HTRI	12909625	1	E2F6 / MCM3
287	RB1	E2F3	TRRUST	20428827	1	RB1 / E2F3
288	E2F1	CCNB1	TRRUST	22508987	1	E2F1 / CCNB1
289	FOXO1	ANGPT2	TRRUST	20213583	1	FOXO1 / ANGPT2
290	CEBPA	VLDLR	TRRUST	10064725	1	CEBPA / VLDLR
291	NFKB1	WT1	TRRUST	11243407	1	NFKB1 / WT1
292	TP73	BIRC5	TRRUST	19067706	1	TP73 / BIRC5
293	MAL	MYL9	TRRUST	19724058	1	MAL / MYL9
294	DDIT3	MAP1LC3B	TRRUST	20038797	1	DDIT3 / MAP1LC3B
295	JUN	CCL5	TRRUST	11413310	1	JUN / CCL5
296	MLLT10	CDKN1A	TRRUST	15851483	1	MLLT10 / CDKN1A
297	HDAC7	CDKN1A	TRRUST	20693714	1	HDAC7 / CDKN1A
298	RUNX3	TRAF6	TRRUST	17956589	1	RUNX3 / TRAF6
299	NFYC	SOX3	TRRUST	19799567	1	NFYC / SOX3
300	GATA1	MPL	TRRUST	15466856	1	GATA1 / MPL
301	TCF4	MITF	TRRUST	21519923	1	TCF4 / MITF
302	CDX2	VDR	Fastforward|TRRUST	11450701|11450701|16604479|16883525|19960008	4	CDX2 / VDR
303	ETS1	CSNK2A1	TRRUST	19027835	1	ETS1 / CSNK2A1
304	ESR1	BTG2	HTRI|TRRUST	19117054|19117054	1	ESR1 / BTG2
305	STAT5B	OSM	PAZAR	10556323	1	STAT5B / OSM
306	CEBPB	C1QTNF3	PAZAR	15755877	1	CEBPB / C1QTNF3
307	HBP1	FASLG	TFacTs	|16179914	2	HBP1 / FASLG
308	PPARA	CD36	TRRUST	16713233|20110263	2	PPARA / CD36
309	ESR1	CCNA2	TRRUST	17681750	1	ESR1 / CCNA2
310	BRCA1	CYP1A1	HTRI|TRRUST	16567799|16567799	1	BRCA1 / CYP1A1
311	HNF1A	UGT1A9	HTRI|TRRUST	15044625|15044625	1	HNF1A / UGT1A9
312	RBPJ	PTEN	HTRI|TRRUST	19479935|17245125|17245125	2	RBPJ / PTEN
313	RUNX1	KLF4	TRRUST	19328795	1	RUNX1 / KLF4
314	TWIST2	MMP2	TRRUST	20646316	1	TWIST2 / MMP2
315	HIF3A	HIF1A	TRRUST	19755485	1	HIF3A / HIF1A
316	ESR1	CDKN1A	TRRUST	11517191|15378598|16628468|17681750	4	ESR1 / CDKN1A
317	CEBPB	ADH1A	ORTI|TFacTs	|1620113|1620113	2	CEBPB / ADH1A
318	MYC	IL13	HTRI	12695333	1	MYC / IL13
319	YY1	MKLN1	ORegAnno	22951020	1	YY1 / MKLN1
320	MITF	BCL2	TFacTs	|1999537|19067971	3	MITF / BCL2
321	E2F3	TP73	HTRI	15210709	1	E2F3 / TP73
322	YY1	UBR5	ORegAnno	22951020	1	YY1 / UBR5
323	ETS1	CD8A	TRRUST	8413295	1	ETS1 / CD8A
324	CREB1	NR5A2	TRRUST	18191017	1	CREB1 / NR5A2
325	SP1	ADAM17	HTRI|TRRUST	19772640|22705645|19772640	2	SP1 / ADAM17
326	MYB	IL15	TRRUST	11675351	1	MYB / IL15
327	YY1	IP6K2	ORegAnno	22951020	1	YY1 / IP6K2
328	MYC	MTDH	TRRUST	17088530	1	MYC / MTDH
329	HDAC4	MMP13	TRRUST	17656568|19423655	2	HDAC4 / MMP13
330	CIITA	HLA-F	TRRUST	11137213	1	CIITA / HLA-F
331	MYC	MUC1	HTRI	12695333	1	MYC / MUC1
332	MYCN	DDB1	TRRUST	12527763	1	MYCN / DDB1
333	TP53	IER3	HTRI|TRRUST	12360408|12360408	1	TP53 / IER3
334	PPARG	SAT1	HTRI|TRRUST	14506281|14506281|14750214	2	PPARG / SAT1
335	HDAC1	GAD1	TRRUST	19029285	1	HDAC1 / GAD1
336	ZBTB2	MDM2	TRRUST	19380588	1	ZBTB2 / MDM2
337	GTF2I	DNAAF4	TRRUST	18445785	1	GTF2I / DNAAF4
338	RELA	FCGRT	HTRI	17709515	1	RELA / FCGRT
339	E2F1	EYA2	HTRI	12629508	1	E2F1 / EYA2
340	CRTC1	PPARGC1A	TRRUST	10893434	1	CRTC1 / PPARGC1A
341	FOS	VIM	PAZAR	7986748	1	FOS / VIM
342	SMAD3	BGLAP	HTRI|TFacTs|TRRUST	11278818||11278818|11278818	2	SMAD3 / BGLAP
343	NFKB1	CD74	HTRI|TRRUST	8164652|8164652	1	NFKB1 / CD74
344	MYC	ID2	HTRI|Fastforward|TRRUST	12695333|18085637|12545167	3	MYC / ID2
345	SP1	ALOX5	HTRI|TRRUST	10436859|2251250|19781662|9062372|10436859|2251250	4	SP1 / ALOX5
346	ETS1	TNFSF14	TRRUST	12215452	1	ETS1 / TNFSF14
347	ETS1	ERG	TRRUST	7731694	1	ETS1 / ERG
348	STAT1	CTSL	TRRUST	11556541	1	STAT1 / CTSL
349	PIAS1	SI	TRRUST	22539995	1	PIAS1 / SI
350	CIITA	PSMC5	TRRUST	22771340	1	CIITA / PSMC5
351	NR2F1	NES	PAZAR	10222142	1	NR2F1 / NES
352	SP3	ESR1	Fastforward	12429135|16679312	2	SP3 / ESR1
353	CREB3L4	DNAJC12	TRRUST	24122553	1	CREB3L4 / DNAJC12
354	ZNF417	CDKN2A	HTRI	19340300	1	ZNF417 / CDKN2A
355	NFKB1	CRHR1	TRRUST	20233629	1	NFKB1 / CRHR1
356	CEBPE	PRG2	TRRUST	12202480	1	CEBPE / PRG2
357	AR	PRKCD	HTRI|ORTI	17178875|17553165	2	AR / PRKCD
358	CEBPB	CR2	TRRUST	19487031	1	CEBPB / CR2
359	FOXA1	UGT2B15	HTRI|TRRUST	20736324|20736324	1	FOXA1 / UGT2B15
360	SP1	PRDM1	Fastforward	18604866	1	SP1 / PRDM1
361	MSX2	BGLAP	TRRUST	10569470	1	MSX2 / BGLAP
362	ZNF224	VDR	TRRUST	23362234	1	ZNF224 / VDR
363	FOS	CD40LG	HTRI|TRRUST	11160303|11160303	1	FOS / CD40LG
364	CEBPA	INSR	TRRUST	8288055	1	CEBPA / INSR
365	TRAF6	TICAM1	TRRUST	14530355|20047764	2	TRAF6 / TICAM1
366	CEBPA	HAMP	TRRUST	18671304	1	CEBPA / HAMP
