TF	Target	Sources	PMIDs	N
PAX4	GCG	TRRUST	17426099	1
NR2F1	PAX6	Fastforward	20147377	1
SIRT1	TP73	TRRUST	19188449	1
NR5A1	INSL3	TRRUST	23530236	1
ESR1	CCL11	HTRI	20034404	1
PPARA	CYP1A1	HTRI|TRRUST	15521013|15521013	1
LEF1	BIRC5	TRRUST	19620402	1
HOXA5	ARHGEF1	TRRUST	17379095	1
MAZ	HTR1A	PAZAR|TRRUST	8626793|8626793	1
CEBPB	CYP3A4	HTRI|ORTI	15778453|	2
PITX1	TBX4	TRRUST	20598276	1
NFYB	GFI1B	TRRUST	19965638	1
E2F1	HIC1	TFacTs|TRRUST	|19491197|19015639|19491197	3
POU4F2	HSP90AA1	TRRUST	15818685	1
MYC	FN1	TFacTs	|14519204	2
SP3	ERBB2	TRRUST	22553354	1
NFKB1	CARM1	TRRUST	20462455	1
TFAP2A	CSH1	HTRI|TRRUST	10715552|10715552	1
CEBPA	IL3	TRRUST	10453008	1
NANOG	SEMA6A	TRRUST	17671748	1
YY1	FMO3	TRRUST	17786630	1
MYC	HIST2H4A	HTRI	12747840	1
PCGF2	HOXA7	TRRUST	22085718	1
CTCF	PBXIP1	TRRUST	22187427	1
HDAC4	RUNX2	TRRUST	19509297	1
WT1	KLK3	TRRUST	18631392	1
PBX2	EMX2	TRRUST	15494461	1
TCF7L2	EPCAM	TFacTs	18006828	1
GATA3	FOXC2	TRRUST	22120723	1
STAT6	IL1R1	TRRUST	8757327	1
NFKB1	F3	TFacTs|TRRUST	12746898|11057875|11057875|11157486|19167713|9867853	5
PPARD	SOD1	TRRUST	18048767	1
NR1I2	HIVEP3	HTRI	19129222	1
ESR1	SPATA2	HTRI	20034404	1
REL	JAG1	TFacTs	10329626	1
E2F1	SERPINB5	TRRUST	20197383	1
NFE2L2	CXCL8	TRRUST	21925595	1
HSF1	ATG7	TRRUST	23386620	1
JUN	EGFR	TRRUST	10803405	1
CREBBP	PTGS2	TRRUST	11278336	1
E2F1	RRM2	TRRUST	19416980	1
BCL6	CCND2	TRRUST	15509806|22723377	2
SP1	ITGA11	TFacTs	|19913614	2
IRF1	CEACAM1	HTRI|TRRUST	21050451|21050451	1
MLLT3	CDKN1A	TRRUST	15851483	1
ZNF148	MMP3	HTRI|TRRUST	19275880|15003528	2
UBP1	CYP11A1	TRRUST	18004979	1
ZBTB33	CDKN2A	HTRI	19340300	1
NFKB1	IFNB1	TRRUST	10074115|12077266|17496231|15955070|16125763|17079305	6
ESR2	TGFA	TRRUST	11517191	1
JUND	NQO2	HTRI|TRRUST	16545679|16545679	1
RB1	FGFR1	TRRUST	19303924	1
FOXO4	CREB1	TRRUST	20136501	1
VDR	PHB	TRRUST	16849588|17207617	2
DEAF1	HTR1A	PAZAR|TRRUST	14507979|14507979	1
ATF2	PLAU	TRRUST	10454570	1
MYC	ST3GAL4	TRRUST	22547830	1
GLI1	S100A9	TRRUST	16880536	1
REST	CD59	TRRUST	20421646	1
HIF1A	ALAS2	HTRI|TRRUST	21207956|21207956	1
GATA2	HHEX	Fastforward	19620289	1
ESR2	NINJ1	HTRI	20034404	1
FEV	TPH1	PAZAR	10575032	1
NANOG	GATA6	TRRUST	15983365	1
ERCC2	CDKN1A	TRRUST	22387547	1
NFKB1	CXCL12	TRRUST	17530707	1
NR1I2	GATAD2A	HTRI	19129222	1
GATA3	IGKV1ORY-1	HTRI	19559773	1
ILF3	HLA-DRB1	TRRUST	7651394	1
GATA3	HAT1	HTRI	19559773	1
TCF7L2	UBE2B	TFacTs	pmid: 17050667	1
NFKB1	CXCR2	TRRUST	19156404|18555777	2
SP1	CDK2	Fastforward	12732645|8647814	2
MYC	SEC23B	HTRI	12747840	1
STAT2	SCARB1	TRRUST	17998316	1
NOTCH1	HES1	Fastforward	18490439	1
TBP	MEOX2	Fastforward	7623821	1
AR	UGT1A3	TFacTs	18677463	1
SP1	CETP	TRRUST	10669650|12730302	2
MYC	AQR	HTRI	12747840	1
PML	CDKN1A	TRRUST	10356361|16007146	2
SREBF1	AR	TRRUST	20071336	1
CDX1	PCNA	TRRUST	11743638	1
MYC	SLBP	HTRI	12695333	1
HOXB7	CDKN1B	TRRUST	21474578	1
STAT1	ZC3HAV1	ORegAnno	22951020	1
RUNX1	FOXP3	Fastforward	19800266	1
SP3	ITGAV	TRRUST	12136940	1
TP53	GPX1	HTRI	16980608	1
RUNX3	TCF4	TRRUST	24447505	1
MYC	YBX3	HTRI	12747840	1
USF2	PDX1	TRRUST	10393088	1
SF1	TCERG1	TRRUST	11604498	1
JUN	CCL2	TRRUST	18443042	1
NFKB1	OLFM4	TRRUST	18764868	1
FOXA3	CEBPA	HTRI	19074951	1
SP1	PADI4	HTRI	17456793	1
MYC	SLC28A2	HTRI	12747840	1
WT1	ADGRE5	TRRUST	22313360	1
NFKB2	CXCL8	TFacTs	pazar_pleiades_20100814|15079071	2
EGR1	STIM1	TRRUST	20123987	1
HDAC3	TNF	TRRUST	15356147	1
TP53	TNFRSF10B	ORegAnno|PAZAR|TRRUST	15964798|15964798|10101800|11313989|11756185|10810622|19351839	6
ESR2	EIF2D	HTRI	20034404	1
SP1	STAR	TRRUST	11111087|15129808	2
MYC	TYMS	HTRI|TFacTs	12747840||12747840	2
FOXL2	STAR	PAZAR|TRRUST	15059956|21862621	2
FOXF2	PDGFA	TRRUST	19562724	1
MYC	SURF2	TRRUST	10858544	1
ELF3	PTGS2	TRRUST	15794755	1
ESR2	TNFRSF10C	HTRI	20034404	1
DNMT1	ESR1	TRRUST	21655924|23242655	2
RORA	PPARG	Fastforward	11554739	1
E2F2	RBL1	Fastforward	7791762	1
MYC	ACO2	HTRI	12695333	1
CDX2	HEPH	TRRUST	15825077	1
CRX	RHO	TRRUST	15277472	1
SOX9	CEACAM1	TRRUST	22209504	1
E2F6	MCM3	HTRI	12909625	1
RB1	E2F3	TRRUST	20428827	1
E2F1	CCNB1	TRRUST	22508987	1
FOXO1	ANGPT2	TRRUST	20213583	1
CEBPA	VLDLR	TRRUST	10064725	1
NFKB1	WT1	TRRUST	11243407	1
TP73	BIRC5	TRRUST	19067706	1
MAL	MYL9	TRRUST	19724058	1
DDIT3	MAP1LC3B	TRRUST	20038797	1
JUN	CCL5	TRRUST	11413310	1
MLLT10	CDKN1A	TRRUST	15851483	1
HDAC7	CDKN1A	TRRUST	20693714	1
RUNX3	TRAF6	TRRUST	17956589	1
NFYC	SOX3	TRRUST	19799567	1
GATA1	MPL	TRRUST	15466856	1
TCF4	MITF	TRRUST	21519923	1
CDX2	VDR	Fastforward|TRRUST	11450701|11450701|16604479|16883525|19960008	4
ETS1	CSNK2A1	TRRUST	19027835	1
ESR1	BTG2	HTRI|TRRUST	19117054|19117054	1
STAT5B	OSM	PAZAR	10556323	1
CEBPB	C1QTNF3	PAZAR	15755877	1
HBP1	FASLG	TFacTs	|16179914	2
PPARA	CD36	TRRUST	16713233|20110263	2
ESR1	CCNA2	TRRUST	17681750	1
BRCA1	CYP1A1	HTRI|TRRUST	16567799|16567799	1
HNF1A	UGT1A9	HTRI|TRRUST	15044625|15044625	1
RBPJ	PTEN	HTRI|TRRUST	19479935|17245125|17245125	2
RUNX1	KLF4	TRRUST	19328795	1
TWIST2	MMP2	TRRUST	20646316	1
HIF3A	HIF1A	TRRUST	19755485	1
ESR1	CDKN1A	TRRUST	11517191|15378598|16628468|17681750	4
CEBPB	ADH1A	ORTI|TFacTs	|1620113|1620113	2
MYC	IL13	HTRI	12695333	1
YY1	MKLN1	ORegAnno	22951020	1
MITF	BCL2	TFacTs	|1999537|19067971	3
E2F3	TP73	HTRI	15210709	1
YY1	UBR5	ORegAnno	22951020	1
ETS1	CD8A	TRRUST	8413295	1
CREB1	NR5A2	TRRUST	18191017	1
SP1	ADAM17	HTRI|TRRUST	19772640|22705645|19772640	2
MYB	IL15	TRRUST	11675351	1
YY1	IP6K2	ORegAnno	22951020	1
MYC	MTDH	TRRUST	17088530	1
HDAC4	MMP13	TRRUST	17656568|19423655	2
CIITA	HLA-F	TRRUST	11137213	1
MYC	MUC1	HTRI	12695333	1
MYCN	DDB1	TRRUST	12527763	1
TP53	IER3	HTRI|TRRUST	12360408|12360408	1
PPARG	SAT1	HTRI|TRRUST	14506281|14506281|14750214	2
HDAC1	GAD1	TRRUST	19029285	1
ZBTB2	MDM2	TRRUST	19380588	1
GTF2I	DNAAF4	TRRUST	18445785	1
RELA	FCGRT	HTRI	17709515	1
E2F1	EYA2	HTRI	12629508	1
CRTC1	PPARGC1A	TRRUST	10893434	1
FOS	VIM	PAZAR	7986748	1
SMAD3	BGLAP	HTRI|TFacTs|TRRUST	11278818||11278818|11278818	2
NFKB1	CD74	HTRI|TRRUST	8164652|8164652	1
MYC	ID2	HTRI|Fastforward|TRRUST	12695333|18085637|12545167	3
SP1	ALOX5	HTRI|TRRUST	10436859|2251250|19781662|9062372|10436859|2251250	4
ETS1	TNFSF14	TRRUST	12215452	1
ETS1	ERG	TRRUST	7731694	1
STAT1	CTSL	TRRUST	11556541	1
PIAS1	SI	TRRUST	22539995	1
CIITA	PSMC5	TRRUST	22771340	1
NR2F1	NES	PAZAR	10222142	1
SP3	ESR1	Fastforward	12429135|16679312	2
CREB3L4	DNAJC12	TRRUST	24122553	1
ZNF417	CDKN2A	HTRI	19340300	1
NFKB1	CRHR1	TRRUST	20233629	1
CEBPE	PRG2	TRRUST	12202480	1
AR	PRKCD	HTRI|ORTI	17178875|17553165	2
CEBPB	CR2	TRRUST	19487031	1
FOXA1	UGT2B15	HTRI|TRRUST	20736324|20736324	1
SP1	PRDM1	Fastforward	18604866	1
MSX2	BGLAP	TRRUST	10569470	1
ZNF224	VDR	TRRUST	23362234	1
FOS	CD40LG	HTRI|TRRUST	11160303|11160303	1
CEBPA	INSR	TRRUST	8288055	1
TRAF6	TICAM1	TRRUST	14530355|20047764	2
CEBPA	HAMP	TRRUST	18671304	1
NCOA3	MMP10	TRRUST	18162290	1
SP1	TFPI2	TRRUST	12446683	1
IRF8	GAS2	TRRUST	20679491	1
FOXO3	STK11	ORegAnno	22412893	1
NR2F1	OXT	PAZAR	12047722	1
CHD8	HOXA2	TRRUST	20085832	1
SP1	FAS	TRRUST	22084312|10022897|10871852|9261184|9300785	5
GFI1	CDKN1A	TRRUST	16287849	1
KLF11	INS	HTRI|TRRUST	15774581|18593768|15774581|18199129|21592955	4
ZNF382	MITF	TRRUST	20682794	1
SF1	HSD3B2	TRRUST	23874725	1
TBX2	CDKN1A	TRRUST	20624445	1
TAL1	LARP4B	HTRI	20028976	1
ZNF395	HTT	Fastforward	14625278	1
FOXL2	CCND2	TRRUST	21862621	1
NELFCD	CTNNB1	TRRUST	20735431	1
LEF1	CLDN2	TFacTs|TRRUST	14751232|14751232	1
SP1	RGN	TRRUST	21526343	1
E2F6	E2F1	TFacTs|TRRUST	|18562691|18562691	2
JUND	CCND1	TRRUST	20220142	1
STAT6	PTGS2	HTRI|TRRUST	17237818|17237818	1
RUNX2	SP7	TRRUST	18331818	1
TP53	FOXO3	TRRUST	19299143	1
SMAD3	VDR	TRRUST	17471513	1
ELF3	TIMP3	TRRUST	12407165	1
TCF7	CEACAM6	TFacTs	15890249	1
TP53	MGMT	TRRUST	17564708|19846904|20525765	3
STAT1	CSF1	HTRI|ORegAnno|PAZAR	15624698|22951020|15624698	2
FOXO3	KLF6	HTRI	18226221	1
JUND	NQO1	TRRUST	11035254	1
SREBF1	NR0B2	Fastforward|TFacTs|TRRUST	15123650||15123650|15123650	2
TP53	DUSP1	HTRI|TRRUST	15611668|12890671|15611668	2
NR3C1	HSD11B2	TRRUST	17551100	1
HNF1B	FOLR1	HTRI	12566316	1
NR0B1	AMH	TRRUST	11990799	1
FOXO4	TNFSF10	TRRUST	23630076	1
AR	NOV	TRRUST	23318417	1
PPARG	GK	TRRUST	14749268	1
SP1	CYP7A1	TRRUST	9875228	1
CTCF	IL19	ORegAnno	22951020	1
NR1I2	FOXP1	HTRI	19129222	1
ETS1	MMP3	HTRI|TRRUST	12034715|10358095|10949659|11556732|12034715	4
RPA2	BRCA1	Fastforward	12748281	1
GATA3	PDE3A	HTRI	19559773	1
HBP1	SPI1	TFacTs	|16179914	2
HES1	REST	Fastforward	16253247	1
FLI1	EGR1	Fastforward	10806199	1
JUN	STAR	TRRUST	19150388	1
FHL2	NFKB1	TRRUST	18752053	1
KLF9	PGR	TRRUST	20463357	1
HIF1A	VEGFB	TRRUST	21731766	1
STAT3	SOCS1	TRRUST	14630083|20003295|20357037	3
RELA	COL1A2	HTRI|TRRUST	10201951|10201951	1
SLA2	CD69	TRRUST	11696592	1
HDAC2	TNFSF10	TRRUST	23630076	1
HSF1	MAP3K14	TRRUST	19381566	1
TAF1	AR	TRRUST	20181722	1
EP300	HINFP	TRRUST	17826007	1
SPI1	GATA1	TRRUST	20304827|11001896	2
RARA	G0S2	HTRI	21310893	1
E2F1	CCL3	TRRUST	17707233	1
SP1	NPY	TRRUST	2376581	1
CTCF	BICD2	ORegAnno	22951020	1
RUNX1	SPI1	TRRUST	12576332|18316480	2
PGR	ZKSCAN7	HTRI	20034404	1
ZHX2	CCNA2	TRRUST	22406477	1
GLI2	CAMK1	TFacTs	|14691458	2
PAX5	MYCN	TRRUST	9545244	1
AR	TGFA	TRRUST	11556855	1
HSF1	BAG3	HTRI|TRRUST	19006120|19006120|20692357	2
HMGA1	PTGS2	TRRUST	22898640	1
JUN	BRCA1	Fastforward|TRRUST	17434164|17434164	1
EP300	EPO	TRRUST	20368990	1
E2F4	GMNN	TFacTs	|14990995	2
RXRA	SOX3	Fastforward	17005281	1
APBB1	GMPS	TRRUST	21453247	1
TFAP2A	CFTR	TRRUST	10652362	1
E2F4	DUOX2	HTRI	11799066	1
HDAC1	ESR1	TRRUST	18316616|20101232|23242655|21655924	4
ZNF384	CDKN2A	HTRI	19340300	1
EZH2	CCND1	TRRUST	20132185|21697275	2
YY1	FCGR2B	TRRUST	15153544	1
E2F1	NKX6-1	HTRI	12629508	1
ESR2	CDKN1A	TRRUST	11517191	1
SMAD7	TGFBR1	TRRUST	15221015	1
FOXO1	CXCR4	TRRUST	20068066	1
ELK1	EIF2AK1	TRRUST	19133234	1
NFKB1	CARD8	TRRUST	17878386	1
SPI1	DAPK2	TRRUST	24038216	1
PPARG	DBI	TRRUST	12015306	1
GATA4	SGPL1	TRRUST	21184844	1
JUN	IBSP	TRRUST	23485603|9084640	2
RELA	F3	HTRI|TFacTs|TRRUST	18226221|12746898|11057875|11057875|11157486|19167713|9867853	6
E2F6	ZNF83	HTRI	12909625	1
AR	PMEPA1	HTRI|TRRUST	16213525|17075604|18703514	3
MXD1	TERT	TRRUST	21411498|19912441	2
TCF7	MSLN	TFacTs	15890249	1
DLX5	IGFBP3	TRRUST	17278996	1
NFKB1	GSTP1	TRRUST	15013838	1
PPARD	SAT1	HTRI|TRRUST	14506281|14506281	1
MYC	APC	HTRI	12695333	1
DDIT3	CXCL8	HTRI|TRRUST	18772138|18772138	1
PIAS2	LRRN3	TRRUST	21908575	1
TBX21	IL4	TRRUST	17541280|18504404|19348920|22521571	4
RUNX3	HSPD1	TRRUST	17956589	1
TP63	GADD45A	PAZAR	18260640	1
WT1	ABCB1	TRRUST	10392899|10860921	2
JUN	BECN1	TRRUST	19060920	1
SP1	ABCB1	HTRI|TRRUST	10644769|10644769|7565762|10860921|8103518	4
MEF2D	CD14	TRRUST	12213324	1
SP1	FXR2	TRRUST	16886907	1
NFKB1	HDAC7	TRRUST	21243522	1
HIF1A	MXI1	Fastforward	17482131	1
CTNNB1	ITGB1	TFacTs	15979100	1
CEBPZ	THBS1	HTRI	18275041	1
PPARG	HMOX1	TRRUST	17413033	1
DNMT1	TNFRSF10B	TRRUST	20398055	1
TP53	PSRC1	HTRI	18291097	1
USF1	PTGDS	HTRI|TRRUST	17574780|18817855|17574780|18817855	2
SP3	SLC6A3	PAZAR	15816870	1
GATA3	GATA3	HTRI|TRRUST	19559773|20484083	2
GATA4	CYP17A1	TRRUST	14988427	1
E2F1	ATG5	TRRUST	18408756	1
NR1I2	BPHL	HTRI	19129222	1
PAX5	MET	TRRUST	24628993|19139719	2
MYC	AHSG	HTRI	12695333	1
ZNF300	MYC	TRRUST	21777376	1
SOX9	MIA	TRRUST	12783851	1
USF1	ASCL2	TRRUST	12917334	1
JUN	IL2	HTRI|TRRUST	8468462|7642615|8468462	2
ZNF184	CDKN2A	HTRI	19340300	1
RELA	VEGFD	TRRUST	18941249	1
PER1	BCL2	TRRUST	19675098	1
NFKBIA	MMP9	TRRUST	11376631	1
ING4	ARL6IP5	TRRUST	24157826	1
RFX2	FGF1	TRRUST	22415835	1
NR3C1	BGLAP	HTRI|TRRUST	9303434|9303434	1
PAX5	LEF1	TRRUST	9545244	1
NFKB1	PTAFR	TRRUST	11502209	1
FOXA1	BCL2	HTRI|TRRUST	19127412|19127412	1
PPARD	ANG	TRRUST	17511960	1
PPARA	SREBF2	TRRUST	16946405	1
MECOM	ZBTB16	Fastforward	12200691	1
RELA	FOSB	HTRI	20018891	1
SP1	IFNGR1	TRRUST	11477089	1
AR	TCF7L2	TRRUST	12799378	1
ZBTB5	CDKN1A	TRRUST	19491398	1
SIRT2	NEDD4	TRRUST	23175188	1
GLI1	BCL2	TRRUST	19074837|21135115|14555646|15520176|24739390	5
STAT3	CTNNB1	HTRI	20830236	1
POU2F1	VIP	PAZAR	9642274	1
ETV4	EGLN1	TRRUST	22075993	1
MYC	MAGEA3	HTRI	12695333	1
ERG	EPB41L3	TRRUST	20860828	1
TCF7L2	CTNNB1	TRRUST	24317174	1
CTCF	PRSS35	ORegAnno	22951020	1
FOXM1	VEGFB	TRRUST	21860419	1
E2F7	SP1	HTRI|TFacTs	21248772||21248772	2
SREBF1	SREBF1	TFacTs	|16831124	2
TWIST2	DKK1	TRRUST	18453541	1
JUNB	IL3	TRRUST	8704203	1
NFKB1	MUC2	TRRUST	12686724|18176092	2
SOX2	POU4F2	TRRUST	20739473	1
BCL6	XBP1	TRRUST	24821775	1
ATF3	IFNG	TRRUST	20304822	1
ZBTB16	ID2	TRRUST	19723763	1
SREBF1	PTGS2	TFacTs	|15716578	2
HDAC9	MEF2A	TRRUST	12242305|15194749	2
STAT6	OPRM1	TRRUST	20828825	1
NFYB	LPIN1	TRRUST	19553673	1
SMAD3	GLI2	TFacTs|TRRUST	|19797115|19797115	2
BRCA1	SIRT1	TRRUST	18851829|20160719|21407215|9000507	4
GATA3	PPARG	HTRI	15896659	1
ATM	BAX	TRRUST	16214353	1
APEX1	RELA	TRRUST	17045925	1
MTA1	TFF1	TRRUST	12431981	1
XBP1	SOD2	TRRUST	17192397	1
DDIT3	SLC38A2	HTRI	18940792	1
RELA	CDKN1A	TRRUST	18269916|18954936	2
FOS	CA9	HTRI	11672442	1
SRF	SERPINE1	TRRUST	15514113	1
NFIC	GFAP	TRRUST	19540848	1
NCOR1	IGF1	TRRUST	18193094	1
ESR1	HSPB1	TRRUST	10960840	1
SMAD2	SERPINE1	TFacTs	19132220	1
TAL1	PLEKHO1	HTRI	20028976	1
ZEB1	LAMC2	HTRI|TRRUST	20729552|20729552	1
NFKB1	CSNK2A1	TRRUST	19027835	1
DNMT1	CDKN2A	TRRUST	17934516|17490527	2
GATA4	IAPP	TRRUST	17290010	1
USF2	B2M	TRRUST	12480693	1
PPARD	LPL	TRRUST	10634806	1
FOXD3	RND3	TRRUST	21478267	1
TP53	S100B	PAZAR|TRRUST	15178678|15178678	1
RELA	PINK1	ORegAnno	25108683	1
RELA	IFNA1	TRRUST	8035474|15331713	2
YY1	TTC17	ORegAnno	22951020	1
